review_id,analysis_name,k,scale,final_score,final_class,half_life_k,half_life_year,half_life_pct,volatility,n_flips,first_flip_k,year_span,stabilizes,early_stabilizer
CD014959,Proportion of people with laboratory-confirmed leptospirosis regardless of the presence of an identified clinical syndrome (inclusive of asymptomatic cases) ,5,ratio,0.0,Unstable,,,,0.0,0,,18.0,No,No
CD014964,First-attempt success (Types of ultrasound guidance: preprocedural versus real‐time),54,ratio,100.0,Robust,11,,20.4,3.68,4,11,0,Yes,No
CD014965,Other side effects: sedation,8,ratio,100.0,Robust,4,2009.0,50.0,10.0,1,4,8.0,Yes,Yes
CD014966,Death,28,ratio,25.0,Unstable,,,,9.0,4,,13.0,No,No
CD014967,Mortality before hospital discharge,5,ratio,0.0,Unstable,,,,0.0,0,,3.0,No,No
CD015003,Adverse events,10,ratio,37.5,Unstable,,,,19.64,1,,30.0,No,No
CD015014,Mortality (proportion of residents who died),24,ratio,0.0,Unstable,,,,0.0,0,,17.0,No,No
CD015038,Wound infection,9,ratio,100.0,Robust,6,2019.0,66.7,14.58,3,6,6.0,Yes,No
CD015040,Stimulation frequency: low versus high frequency,7,difference,0.0,Unstable,,,,37.5,4,6,2.0,No,No
CD015042,Number of women who completed treatment,7,ratio,0.0,Unstable,,,,0.0,0,,7.0,No,No
CD015083,Back-related function,67,difference,100.0,Robust,12,2004.0,17.9,2.34,2,12,27.0,Yes,No
CD015087,Nausea and/or vomiting,7,ratio,25.0,Unstable,,,,31.25,2,,0,No,No
CD015120,Smoking cessation,5,ratio,0.0,Unstable,,,,0.0,0,,7.0,No,No
CD015122,Blood transfusion,9,ratio,100.0,Robust,8,2021.0,88.9,8.33,1,8,4.0,Yes,No
CD015124,Assessment of prognostic factors around breast cancer diagnosis,8,ratio,100.0,Robust,4,2012.0,50.0,10.0,1,4,12.0,Yes,Yes
CD015134,Preterm birth,6,ratio,25.0,Unstable,,,,8.33,0,,1.0,No,No
CD015140,Risk of relapse in drug-off time - fixed-effect model,5,ratio,0.0,Unstable,,,,0.0,0,,10.0,No,No
CD015192,Surgical site infection rate,6,ratio,0.0,Unstable,,,,0.0,0,,6.0,No,No
CD015213,Recurrence rate,12,ratio,100.0,Robust,6,2010.0,50.0,11.11,2,6,15.0,Yes,No
CD015219,All adverse events,18,ratio,100.0,Robust,9,2021.0,50.0,13.33,4,9,3.0,Yes,No
CD015229,Opiate consumption at 3 months,9,difference,100.0,Robust,4,2008.0,44.4,8.33,1,4,17.0,Yes,Yes
CD015252,Presence or persistence of OME,7,ratio,100.0,Robust,6,,85.7,12.5,1,6,0,Yes,No
CD015254,Sensitivity analysis: persistence (short-term) including cases of acute otitis (Mandel 1987),10,ratio,75.0,Moderate,9,1997.0,90.0,14.29,2,9,8.0,Yes,No
CD015255,Persistence of OME (very short-term - up to 6 weeks),7,ratio,37.5,Unstable,,,,34.38,4,6,34.0,No,No
CD015284,Seizure freedom,5,ratio,62.5,Fragile,,,,43.75,2,4,3.0,No,No
CD015314,Tobacco cessation at longest follow-up,21,ratio,100.0,Robust,5,2002.0,23.8,4.17,3,5,25.0,Yes,Yes
CD015326,zBMI (Medium Term),16,difference,100.0,Robust,7,2016.0,43.8,11.54,5,4,10.0,Yes,No
CD015328,BMI short-term,27,difference,50.0,Fragile,,,,3.12,1,,19.0,No,No
CD015330,BMI short term,11,difference,0.0,Unstable,,,,0.0,0,,9.0,No,No
CD015331,Leaving the study early - for any reason - overall acceptability (separated time points),48,ratio,100.0,Robust,33,2019.0,68.8,7.78,8,13,20.0,Yes,No
CD015332,Leaving the study early – for any reason – overall acceptability (separated time points),5,ratio,0.0,Unstable,,,,0.0,0,,0.0,No,No
CD015350,Proportion with non-serious or non-severe harms/adverse events,9,ratio,0.0,Unstable,,,,0.0,0,,19.0,No,No
CD015373,Tolerability,5,ratio,0.0,Unstable,,,,0.0,0,,16.0,No,No
CD015383,Anxiety on STAI-T (scale 20 to 80),5,difference,100.0,Robust,4,2016.0,80.0,25.0,1,4,6.0,Yes,Yes
CD015387,All-cause mortality at the end of scheduled follow-up,21,ratio,100.0,Robust,8,2004.0,38.1,4.86,2,8,26.0,Yes,No
CD015432,Number of children who required rescue medication 2 hours to less than 24 hours postintervention,8,ratio,0.0,Unstable,,,,0.0,0,,22.0,No,No
CD015443,Discontinuations due to adverse events,19,ratio,100.0,Robust,3,2001.0,15.8,0.0,0,,19.0,Yes,Yes
CD015448,Mean change from baseline in symptom scores at 4 weeks,7,difference,0.0,Unstable,,,,25.0,2,,0.0,No,No
CD015476,Adenoma detection rate,15,ratio,100.0,Robust,8,2021.0,53.3,12.5,4,6,3.0,Yes,No
CD015518,Cancer-related fatigue ≤ 12 weeks,12,difference,100.0,Robust,6,2015.0,50.0,11.11,2,6,11.0,Yes,No
CD015520,CRF ≤ 12 weeks,5,difference,100.0,Robust,5,2021.0,100.0,50.0,2,5,5.0,Yes,Yes
CD015532,Overall mortality and in-hospital mortality,11,ratio,0.0,Unstable,,,,0.0,0,,1.0,No,No
CD015536,Proportion of people with serious adverse events,10,ratio,0.0,Unstable,,,,0.0,0,,13.0,No,No
CD015584,Placement success,13,ratio,0.0,Unstable,,,,0.0,0,,11.0,No,No
CD015588,All-cause death,16,ratio,100.0,Robust,4,2014.0,25.0,3.85,2,4,9.0,Yes,Yes
CD015636,Subgroup investigations – dengue virus (DENV) serotype,5,ratio,100.0,Robust,3,2021.0,60.0,0.0,0,,0.0,Yes,Yes
CD015673,Dropouts,14,ratio,0.0,Unstable,,,,27.27,5,11,13.0,No,No
CD015721,Functional independence: mRS score < 3 within 90 days,6,ratio,0.0,Unstable,,,,0.0,0,,1.0,No,No
CD015746,Acute typhoid fever,6,ratio,100.0,Robust,4,2021.0,66.7,12.5,1,4,7.0,Yes,Yes
CD015779,Recurrence of rheumatic fever,6,ratio,100.0,Robust,6,1973.0,100.0,33.33,2,6,21.0,Yes,No
CD015786,Early adverse effects,10,ratio,100.0,Robust,8,2017.0,80.0,14.29,2,8,0.0,Yes,No
CD015788,Proportion of participants who were adherent,8,ratio,50.0,Fragile,,,,15.0,1,,7.0,No,No
CD015804,Proportion of participants who experienced TEAEs during the study period,8,ratio,0.0,Unstable,,,,0.0,0,,2.0,No,No
CD015824,Clinical worsening,5,ratio,100.0,Robust,4,2015.0,80.0,25.0,1,4,3.0,Yes,Yes
CD015849,All-cause death,7,ratio,75.0,Moderate,7,2024.0,100.0,18.75,2,7,7.0,Yes,No
CD015854,Serious adverse event,5,ratio,0.0,Unstable,,,,0.0,0,,0.0,No,No
CD015894,Pain assessed with a validated scale for procedural pain in newborns during the procedure,7,difference,100.0,Robust,6,2021.0,85.7,25.0,2,6,6.0,Yes,No
CD015932,Rate of pulmonary complications – pneumonia (with RCT),10,ratio,100.0,Robust,7,2018.0,70.0,17.86,4,7,27.0,Yes,No
CD016031,"Comparison 3: Lateral vs posterior, Outcome 15: Adverse events, implant related (categorical data)",28,ratio,0.0,Unstable,,,,0.0,0,,43.0,No,No
CD016064,Adverse events,5,ratio,0.0,Unstable,,,,0.0,0,,24.0,No,No
CD016119,Requirement for blood transfusion,16,ratio,75.0,Moderate,16,,100.0,5.77,2,16,17.0,Yes,No
CD016131,All-cause medically attended acute respiratory illnesses (MAARI),5,ratio,0.0,Unstable,,,,50.0,2,,2.0,No,No
CD016136,Implementation outcome,30,difference,100.0,Robust,4,2004.0,13.3,1.85,2,4,19.0,Yes,Yes
CD016211,Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy),5,ratio,100.0,Robust,5,2023.0,100.0,50.0,1,5,2.0,Yes,Yes
